214,Guru Jambheshwar University of Science and Technology,Hisar
228,Chaudhary Charan Singh Haryana Agricultural University,Hisar
400,Lala Lajpat Rai University of Veterinary and Animal Sciences,Hisar
754,Guru Ravidas Ayurved University,Hoshiarpur
113,"Indian Institute of Engineering Science and Technology, Shibpur",Howrah ...
437,Karnataka State Law University,Hubli
697,KLE Technological University,Hubli
39,"International Institute of Information Technology, Hyderabad",Hyderabad
45,University of Hyderabad,Hyderabad
52,Osmania University,Hyderabad
95,Jawaharlal Nehru Technological University,Hyderabad ...
156,Maulana Azad National Urdu University,Hyderabad
217,Rajiv Gandhi University of Knowledge Technologies,Hyderabad
219,Acharya N.G. Ranga Agricultural University,Hyderabad
327,The English and Foreign Languages University,Hyderabad
391,NALSAR University of Law,Hyderabad
489,Jawaharlal Nehru Architecture and Fine Arts University,Hyderabad
503,Nizam's Institute of Medical Sciences,Hyderabad
559,IFHE Hyderabad,Hyderabad
579,Professor Jayashankar Telangana State Agricultural University,Hyderabad
589,Potti Sreeramulu Telugu University,Hyderabad
748,"National Institute of Pharmaceutical Education and Research, Hyderabad",Hyderabad
813,Sri Konda Laxman Telangana State Horticultural University,Hyderabad
246,Manipur University,Imphal
407,Central Agricultural University,Imphal
424,"National Institute of Technology, Manipur",Imphal
684,Manipur Technical University,Imphal
704,"Indian Institute of Information Technology, Manipur",Imphal
873,Manipur University of Culture,Imphal
66,Devi Ahilya Vishwavidyalaya,Indore
105,Indian Institute of Technology Indore,Indore
312,Medi-Caps University,Indore
633,Oriental University,Indore
638,Shri Vaishnav Vidyapeeth Vishwavidyalaya,Indore
675,Sage University,Indore
728,Dr. A.P.J Abdul Kalam University,Indore
788,Dr. B.R. Ambedkar University of Social Sciences,Indore
801,Symbiosis University of Applied Sciences,Indore
855,Malwanchal University,Indore
323,Rajiv Gandhi University,Itanagar
359,North Eastern Regional Institute of Science and Technology,Itanagar
379,Himalayan University,Itanagar
864,Arunodaya University,Itanagar
208,Rani Durgavati Vishwavidyalaya,Jabalpur
245,"PDPM Indian Institute of Information Technology, Design and Manufacturing",Jabalpur
366,Jawaharlal Nehru Krishi Vishwavidyalaya,Jabalpur
720,Nanaji Deshmukh Veterinary Science University,Jabalpur
26,University of Rajasthan,Jaipur
91,"Malaviya National Institute of Technology, Jaipur",Jaipur
180,Jaipur National University,Jaipur
252,The LNM Institute of Information Technology,Jaipur
257,Suresh Gyan Vihar University,Jaipur
306,Rajasthan University of Health Sciences,Jaipur
326,IIHMR University,Jaipur
353,JECRC University,Jaipur
384,Jayoti Vidyapeeth Women's University,Jaipur
403,NIMS University,Jaipur
416,Poornima University,Jaipur
453,JK Lakshmipat University,Jaipur
504,The IIS University,Jaipur
588,Jagadguru Ramanandacharya Rajasthan Sanskrit University,Jaipur
592,Jagannath University,Jaipur
634,Vivekananda Global University,Jaipur
658,Mahatma Jyoti Rao Phoole University,Jaipur
706,University of Technology,Jaipur
711,Bhartiya Skill Development University,Jaipur
747,Mahatma Gandhi University of Medical Sciences and Technology,Jaipur
762,"ICFAI University, Jaipur",Jaipur
785,Pratap University,Jaipur
Un,Haridev Joshi University of Journalism and Mass Communication,Jaipur
125,Dr. B R Ambedkar National Institute of Technology Jalandhar,Jalandhar
578,DAV University,Jalandhar
832,Sant Baba Bhag Singh University,Jalandhar
121,North Maharashtra University,Jalgaon ...
261,University of Jammu,Jammu
467,Central University of Jammu,Jammu
585,Sher-e-Kashmir University of Agricultural Sciences and Technology of Jammu,Jammu
620,Cluster University of Jammu,Jammu
471,Gujarat Ayurved University,Jamnagar
141,"National Institute of Technology, Jamshedpur",Jamshedpur
98,Veer Bahadur Singh Purvanchal University,Jaunpur
761,Jagan Nath University,Jhajjar
93,Bundelkhand University,Jhansi
556,Rani Lakshmi Bai Central Agricultural University,Jhansi
401,Singhania University,Jhunjhunu
739,Shri Jagdishprasad Jhabrmal Tibrewala University,Jhunjhunu
399,Chaudhary Ranbir Singh University,Jind
137,All India Institute of Medical Sciences Jodhpur,Jodhpur
196,Indian Institute of Technology Jodhpur,Jodhpur
302,"National Law University, Jodhpur",Jodhpur
383,Jai Narain Vyas University,Jodhpur
643,Jodhpur National University,Jodhpur
696,"Sardar Patel University of Police, Security and Criminal Justice",Jodhpur
866,"Maulana Azad University, Jodhpur",Jodhpur
Un,Dr. Sarvepalli Radhakrishnan Rajasthan Ayurved University,Jodhpur
787,CMJ University,Jorabat
681,EIILM University,Jorethang
226,Assam Agricultural University,Jorhat
629,Kaziranga University,Jorhat
795,Assam Women's University,Jorhat
225,Junagadh Agricultural University,Junagadh
508,Bhakta Kavi Narsinh Mehta University,Junagadh
528,Yogi Vemana University,Kadapa
751,NIILM University,Kaithal
169,"Jawaharlal Nehru Technological University, Kakinada",Kakinada
593,Sree Sankaracharya University of Sanskrit,Kalady
561,IEC University,Kalujhanda
664,Chitkara University,Kalujhanda
97,University of Kalyani,Kalyani
642,"Indian Institute of Information Technology, Kalyani",Kalyani
22,Chhatrapati Shahu Ji Maharaj University,Kalyanpur
486,Sri Chandrasekharendra Saraswathi Viswa Mahavidyalaya,Kanchipuram
284,Central University of Himachal Pradesh,Kangra
165,Kannur University,Kannur
4,Indian Institute of Technology Kanpur,Kanpur
365,Harcourt Butler Technical University,Kanpur
542,Chandra Shekhar Azad University of Agriculture and Technology,Kanpur
558,Rama University,Kanpur
602,Siddharth University,Kapilvastu
164,Punjab Technical University,Kapurthala
648,Krishna Institute of Medical Sciences,Karad
307,"National Institute of Technology, Puducherry",Karaikal
140,Alagappa University,Karaikudi
539,Satavahana University,Karimnagar
361,National Dairy Research Institute,Karnal ...
292,Central University of Kerala,Kasaragod
772,Arni University,Kathgarh
641,Maharishi Mahesh Yogi Vedic Vishwavidyalaya,Katni ...
286,Shri Mata Vaishno Devi University,Katra
595,Indira Kala Sangeet Vishwavidyalaya,Khairagarh
515,"Mahatma Gandhi University, Meghalaya",Khanapara
782,Bhagat Phool Singh Mahila Vishwavidyalaya,Khanpur Kalan
5,Indian Institute of Technology Kharagpur,Kharagpur
733,Rayat-Bahra University,Kharar
35,Cochin University of Science and Technology,Kochi
587,Kerala University of Fisheries and Ocean Studies,Kochi
617,The National University of Advanced Legal Studies,Kochi
456,Mother Teresa Women's University,Kodaikanal
367,Nagaland University,Kohima
507,Bodoland University,Kokrajhar
729,Sri Devaraj Urs Academy of Higher Education and Research,Kolar
800,Bengaluru North University,Kolar
88,Shivaji University,Kolhapur
812,Sanjay Ghodawat University,Kolhapur
51,Jadavpur University,Kolkata
56,University of Calcutta,Kolkata
59,Indian Statistical Institute,Kolkata ...
99,Maulana Abul Kalam Azad University of Technology,Kolkata
237,Presidency University,Kolkata
248,Rabindra Bharati University,Kolkata
270,West Bengal University of Health Sciences,Kolkata
296,Aliah University,Kolkata
338,The West Bengal National University of Juridical Sciences,Kolkata
376,"West Bengal University of Teachers' Training, Education Planning and Administration",Kolkata
434,"University of Engineering and Management, Kolkata",Kolkata
603,Techno India University,Kolkata
605,St. Xavier's University,Kolkata
637,West Bengal University of Animal and Fishery Sciences,Kolkata
774,The Sanskrit College and University,Kolkata
807,"National Institute of Pharmaceutical Education and Research, Kolkata",Kolkata
459,Central University of Orissa,Koraput
768,P P Savani University,Kosamba
107,Rajasthan Technical University Kota,Kota
205,University of Kota,Kota
43,Mahatma Gandhi University,Kottayam
763,"Indian Institute of Information Technology, Kottayam",Kottayam
337,Kalasalingam University,Krishnankoil
517,Dravidian University,Kuppam
405,Rayalaseema University,Kurnool
20,Kurukshetra University,Kurukshetra ...
166,"National Institute of Technology, Kurukshetra",Kurukshetra
546,Jain Vishva Bharati Institute,Ladnun
412,Mody University of Science and Technology,Lakshmangarh
607,Ajeenkya D.Y. Patil University,Lohegaon
339,Dr. Babasaheb Ambedkar Technological University,Lonere
448,Pravara Institute of Medical Sciences,Loni
13,Dr. A.P.J. Abdul Kalam Technical University,Lucknow
60,University of Lucknow,Lucknow
207,Babasaheb Bhimrao Ambedkar University,Lucknow
273,Sanjay Gandhi Post Graduate Institute of Medical Sciences,Lucknow
288,King George's Medical University,Lucknow
329,Integral University,Lucknow
479,Dr. Shakuntala Misra Rehabilitation University,Lucknow
492,Babu Banarasi Das University,Lucknow
505,Dr. Ram Manohar Lohiya National Law University,Lucknow
723,"Khwaja Moinuddin Chishti Urdu, Arabi-Farsi University",Lucknow
766,Bhatkhande Music Institute,Lucknow
779,Era University,Lucknow
798,Maharishi University,Lucknow
231,Punjab Agricultural University,Ludhiana ...
468,Guru Angad Dev Veterinary and Animal Sciences University,Ludhiana
382,Krishna University,Machilipatnam
344,Bhupendra Narayan Mandal University,Madhepura
150,Madurai Kamaraj University,Madurai
463,Palamuru University,Mahabubnagar
260,Central University of Haryana,Mahendragarh
354,University of Gour Banga,Malda
79,Indian Institute of Technology Mandi,Mandi
513,RIMT University,Mandi Gobindgarh ...
652,Desh Bhagat University,Mandi Gobindgarh
689,Mandsaur University,Mandsaur
102,"National Institute of Technology, Karnataka",Mangalore
213,Mangalore University,Mangalore
313,NITTE University,Mangalore
491,Yenepoya University,Mangalore
797,Srinivas University,Mangalore
17,Manipal Academy of Higher Education,Manipal ...
536,Sanskriti University,Mathura
576,U.P. Pandit Deen Dayal Upadhyaya Pashu Chikitsa Vigyan Vishwavidyalaya Evam Go-Anusandhan Sansthan,Mathura
501,Nilamber-Pitamber University,Medininagar
67,Chaudhary Charan Singh University,Meerut
240,Swami Vivekanand Subharti University,Meerut
499,Shobhit University,Meerut
647,Sardar Vallabhbhai Patel University of Agriculture and Technology,Meerut
705,IIMT University,Meerut
332,Ganpat University,Mehsana
744,AISECT University,Mendua Village
232,Vidyasagar University,Midnapore
41,Chandigarh University,Mohali ...
275,"Indian Institute of Science Education and Research, Mohali",Mohali
475,"National Institute of Pharmaceutical Education and Research, Mohali",Mohali
171,"Indian Institute of Science Education and Research, Kolkata",Mohanpur
290,Bidhan Chandra Krishi Vishwavidyalaya,Mohanpur
336,Teerthanker Mahaveer University,Moradabad
680,IFTM University,Moradabad
394,"Mahatma Gandhi Central University, Motihari",Motihari
227,"Maharishi Markandeshwar University, Mullana",Mullana ...
3,Indian Institute of Technology Bombay,Mumbai
21,University of Mumbai,Mumbai
30,Tata Institute of Social Sciences,Mumbai
38,Narsee Monjee Institute of Management and Higher Studies,Mumbai
42,Tata Institute of Fundamental Research,Mumbai
199,Indira Gandhi Institute of Development Research,Mumbai
267,International Institute for Population Sciences,Mumbai
335,Institute of Chemical Technology,Mumbai
355,Shreemati Nathibai Damodar Thackersey Women's University,Mumbai
445,Homi Bhabha National Institute,Mumbai
502,Central Institute of Fisheries Education,Mumbai
726,Maharashtra National Law University Mumbai,Mumbai
840,"Maharishi Arvind University, Jaipur",Mundiya Purohitan
263,Deenbandhu Chhotu Ram University of Science and Technology,Murthal
182,Babasaheb Bhimrao Ambedkar Bihar University,Muzaffarpur
108,University of Mysore,Mysore ...
426,JSS Academy of Higher Education and Research,Mysore ...
775,JSS Science and Technology University,Mysore
839,KSGH Music and Performing Arts University,Mysore
460,Dharmsinh Desai University,Nadiad
811,Mahapurusha Srimanta Sankaradeva Viswavidyalaya,Nagaon
477,Tamil Nadu Dr. J. Jayalalithaa Fisheries University,Nagapattinam ...
160,Visvesvaraya National Institute of Technology,Nagpur
193,Rashtrasant Tukadoji Maharaj Nagpur University,Nagpur
562,Maharashtra Animal and Fishery Sciences University,Nagpur
615,Datta Meghe Institute of Medical Sciences,Nagpur
687,"Maharashtra National Law University, Nagpur",Nagpur
758,Kavi Kulguru Kalidas Sanskrit Vishwavidyalaya,Nagpur
178,Kumaun University,Nainital
826,Kumar Bhaskar Varma Sanskrit and Ancient Studies University,Nalbari
581,"Mahatma Gandhi University, Nalgonda",Nalgonda
598,Arunachal University of Studies,Namsai
194,Swami Ramanand Teerth Marathwada University,Nanded
195,Maharashtra University of Health Sciences,Nashik
538,Sandip University,Nashik ...
419,Dr. Y.S. Parmar University of Horticulture and Forestry,Nauni
299,Padmashree Dr. D.Y. Patil Vidyapith,Navi Mumbai
612,MGM Institute of Health Sciences,Navi Mumbai
346,Navsari Agricultural University,Navsari ...
630,"International Institute of Information Technology, Naya Raipur",Naya Raipur
315,NIIT University,Neemrana
786,Raffles University,Neemrana
497,Vikrama Simhapuri University,Nellore
1,University of Delhi,New Delhi
8,Indian Institute of Technology Delhi,New Delhi
12,Jawaharlal Nehru University,New Delhi
23,Guru Gobind Singh Indraprastha University,New Delhi
25,Jamia Millia Islamia,New Delhi
37,All India Institute of Medical Sciences Delhi,New Delhi
61,Delhi Technological University,New Delhi
86,National Institute of Fashion Technology,New Delhi ...
149,Indian Agricultural Research Institute,New Delhi
162,Indraprastha Institute of Information Technology,New Delhi
163,Jamia Hamdard,New Delhi
173,Ambedkar University Delhi,New Delhi
